evaluation_set,n_gaps,mean_selected_nrmse,mean_pchip_nrmse,mean_oracle_nrmse,absolute_improvement_vs_pchip_nrmse,mean_regret_vs_oracle_nrmse,oracle_match_rate,relative_improvement_vs_pchip_percent
GazeBase,400,0.17916532801844012,0.17910553069766302,0.14398712686869206,-5.979732077709965e-05,0.03517820114974807,0.21,-0.03338664112949131
GazeBaseVR,400,0.16425622915917124,0.165304943330872,0.12980679989632996,0.0010487141717007709,0.034449429262841245,0.2875,0.6344118636559342
Pedrotti,399,0.3816998752264464,0.38180963186113687,0.3130934762030026,0.00010975663469048325,0.0686063990234438,0.15288220551378445,0.02874642898752262
ZuCo,400,0.16011463851284907,0.16034303315322412,0.12614246544304597,0.00022839464037505142,0.03397217306980314,0.225,0.14244126226351042
macro_mean_across_datasets,1599,0.22130901772922673,0.22164078476072402,0.17825746710276766,0.00033176703149730147,0.043051550626459066,0.2188455513784461,0.14968681502164236
