outer_target_dataset,candidate_index,n_estimators,min_samples_leaf,max_depth,max_features,inner_lodo_macro_mean_selected_nrmse,inner_validation_GazeBaseVR_mean_selected_nrmse,inner_validation_Pedrotti_mean_selected_nrmse,inner_validation_ZuCo_mean_selected_nrmse,inner_validation_GazeBase_mean_selected_nrmse
GazeBase,1,400,5,,sqrt,0.23578181057727185,0.1652995420995649,0.38161451652863587,0.16043137310361474,
GazeBase,5,300,5,12.0,0.7,0.235834299928504,0.1654588482316297,0.3813870466920867,0.16065700486179557,
GazeBase,4,300,10,,1.0,0.2359196636787434,0.16527655862115836,0.38153766745294915,0.16094476496212265,
GazeBase,7,500,10,12.0,0.7,0.23597763873307298,0.1652995420995649,0.3814223171998846,0.1612110568997695,
GazeBase,3,300,5,,1.0,0.23714026337964508,0.16835291532102997,0.38223286640581067,0.16083500841209453,
GazeBase,2,300,2,,1.0,0.23732303470647823,0.16635372508983332,0.3824270646363017,0.1631883143932997,
GazeBase,6,500,2,,0.7,0.237770031918771,0.1661757166620957,0.38433897091951413,0.16279540817470312,
GazeBaseVR,1,400,5,,sqrt,0.2404042444235254,,0.3815460497537156,0.16059572779033254,0.17907095572652815
GazeBaseVR,4,300,10,,1.0,0.24053990416027834,,0.3817467124655923,0.16047051191256995,0.1794024881026727
GazeBaseVR,7,500,10,12.0,0.7,0.2405411917925998,,0.38181305873992105,0.1607464651373656,0.1790640515005128
GazeBaseVR,5,300,5,12.0,0.7,0.24060463335068297,,0.38142000857398345,0.16150563771315615,0.17888825376490927
GazeBaseVR,3,300,5,,1.0,0.24105332844433916,,0.3822736191231588,0.16168917645264316,0.17919718975721552
GazeBaseVR,6,500,2,,0.7,0.24105734082214328,,0.38164131826235703,0.1625718431791676,0.1789588610249052
GazeBaseVR,2,300,2,,1.0,0.2422031389058349,,0.3853070382891629,0.16200647541451432,0.1792959030138275
Pedrotti,7,500,10,12.0,0.7,0.1674737935164312,0.16423292569989484,,0.15937266039323325,0.17881579445616558
Pedrotti,4,300,10,,1.0,0.16757452009901389,0.16433603142211062,,0.15986505296447975,0.17852247591045134
Pedrotti,1,400,5,,sqrt,0.16765616201612646,0.16430376307432568,,0.1598931845949358,0.178771538379118
Pedrotti,5,300,5,12.0,0.7,0.16772328512000956,0.16412297273409748,,0.1602682471921552,0.17877863543377598
Pedrotti,3,300,5,,1.0,0.16778242236949234,0.16407460086949793,,0.1603100117688674,0.17896265447011167
Pedrotti,2,300,2,,1.0,0.16803135724673987,0.16473087155747534,,0.16216410979770418,0.17719909038504014
Pedrotti,6,500,2,,0.7,0.16812475728576926,0.16461995464835028,,0.16180085877116113,0.17795345843779636
ZuCo,5,300,5,12.0,0.7,0.24149124310830525,0.16479847307893206,0.3820605729665992,,0.17761468327938443
ZuCo,1,400,5,,sqrt,0.24169869607012182,0.16476236925377233,0.3816784200627304,,0.1786552988938627
ZuCo,4,300,10,,1.0,0.24172580181619327,0.16475980664423112,0.38164519060057545,,0.17877240820377316
ZuCo,7,500,10,12.0,0.7,0.24175315558086066,0.16517102078622312,0.38141581551710296,,0.17867263043925594
ZuCo,3,300,5,,1.0,0.24234918745203005,0.1649823716762382,0.3837017799746744,,0.17836341070517758
ZuCo,6,500,2,,0.7,0.24369379619230594,0.164424733467371,0.3882661869047138,,0.178390468204833
ZuCo,2,300,2,,1.0,0.24381616509138967,0.16439129677120043,0.38891325185084624,,0.17814394665212233
