station_id,n_gaps,mean_selected_nrmse,mean_pchip_nrmse,mean_general_oracle_nrmse,mean_oracle_nrmse,mean_regret_vs_oracle_nrmse,oracle_match_rate,absolute_improvement_vs_pchip_nrmse,relative_improvement_vs_pchip_percent,absolute_improvement_vs_general_oracle_nrmse,relative_improvement_vs_general_oracle_percent,general_oracle_method
00232,518,0.604861757604512,0.680988278606983,0.6741201861244335,0.46512589159716694,0.13973586600734497,0.3185328185328185,0.07612652100247097,11.178829855661242,0.06925842851992148,10.273899216413215,linear
00427,518,0.6021224727839465,0.6570204585263779,0.6627340295704407,0.4561759670758662,0.14594650570808024,0.2915057915057915,0.05489798574243143,8.35559761191628,0.060611556786494214,9.14568349927351,linear
01048,519,0.6232273242240728,0.6672729544768707,0.6658981594265418,0.4623464281812533,0.1608808960428194,0.2524084778420039,0.04404563025279795,6.600841523290703,0.04267083520246906,6.408012186009994,linear
01346,517,0.560414464903416,0.5475261313864795,0.5543489025392374,0.41808383260053394,0.14233063230288204,0.16054158607350097,-0.012888333516936412,-2.3539211698078732,-0.006065562364178545,-1.0941777527464696,linear
01420,512,0.6052552144366156,0.6891107767537917,0.6892155769251979,0.46245310935624145,0.14280210508037408,0.275390625,0.08385556231717617,12.168662157947418,0.0839603624885823,12.182017542777434,linear
01443,517,0.6019122007361221,0.6776397054599308,0.6754512157914687,0.46399862630840133,0.1379135744277208,0.3230174081237911,0.07572750472380874,11.17518706676295,0.07353901505534666,10.887391026334353,linear
01550,513,0.6302282034545177,0.719154996123567,0.7173565018528631,0.47283930353479825,0.15738889991971944,0.2826510721247563,0.08892679266904935,12.365455729069248,0.08712829839834546,12.145745967772148,linear
01691,515,0.611008472473734,0.6902387310486471,0.6910054116035617,0.4713093821921102,0.13969909028162386,0.2796116504854369,0.07923025857491306,11.478674697744397,0.07999693912982764,11.576890395718474,linear
01975,516,0.6466242740183645,0.6977479010522675,0.6921377326845266,0.49061382700998235,0.1560104470083822,0.25,0.05112362703390294,7.326948165204632,0.04551345866616208,6.575780587721103,linear
02014,517,0.5989267661693679,0.6527349666597575,0.6524889394296056,0.45139670391288234,0.14753006225648554,0.2514506769825919,0.05380820049038959,8.243499006303042,0.05356217326023771,8.208901335103215,linear
02667,516,0.6478101737096329,0.7136380028517679,0.707427544737864,0.4937431846504674,0.15406698905916547,0.26356589147286824,0.06582782914213503,9.224260602585698,0.05961737102823106,8.427346584351925,linear
03032,511,0.6805117799981403,0.6790209719856535,0.6685824262739521,0.4982955024543129,0.18221627754382735,0.19765166340508805,-0.0014908080124867995,-0.21955257259981914,-0.01192935372418813,-1.784275693674914,linear
03668,514,0.6123367972641579,0.6881572984476695,0.678746544036058,0.4642137391051392,0.1481230581590188,0.2801556420233463,0.07582050118351158,11.017902644431127,0.06640974677190015,9.784174572293978,linear
04104,518,0.6181940681125778,0.6954401922169592,0.702298871246337,0.4588793433336386,0.15931472477893924,0.28378378378378377,0.07724612410438136,11.107515062960667,0.08410480313375923,11.975642646912185,linear
04271,518,0.6708648515572617,0.6933288683962984,0.6887311466287285,0.5111163792506149,0.15974847230664677,0.21428571428571427,0.02246401683903665,3.240023293851438,0.017866295071466753,2.5940884420460026,linear
05792,513,0.6137307949362897,0.5788340736788269,0.5740050532412249,0.445114413231912,0.16861638170437776,0.11695906432748537,-0.03489672125746279,-6.028795270408643,-0.03972574169506482,-6.920799994833866,linear
macro_mean_across_stations,8252,0.6205018510239206,0.6704908942294905,0.6684092651320026,0.4678566021122076,0.152645248911713,0.2525944916230611,0.049989043205569926,7.180070525307032,0.04790741410808202,6.899145035092018,
