selected_method,count,share
forward_fill,3,0.00036354823073194375
nearest_boundary,3,0.00036354823073194375
linear,1930,0.23388269510421716
pchip,2929,0.3549442559379544
local_natural_cubic_spline,199,0.024115365971885603
polyfit_bic,994,0.1204556471158507
template,483,0.058531265147842945
seasonal_periodic,1711,0.20734367426078526
