district,n_gaps,mean_selected_nrmse,mean_pchip_nrmse,mean_general_oracle_nrmse,mean_oracle_nrmse,mean_regret_vs_oracle_nrmse,oracle_match_rate,absolute_improvement_vs_pchip_nrmse,relative_improvement_vs_pchip_percent
3,2499,0.4846770329323451,0.6907630508161663,0.6179263855619285,0.3593628437600992,0.12531418917224585,0.5114045618247299,0.2060860178838212,29.834545672401223
4,2500,0.4180811502729025,0.6190768416922818,0.5524270638309047,0.30881478586414157,0.10926636440876089,0.5108,0.20099569141937934,32.46700213659199
7,2500,0.45378268117950604,0.677964515250585,0.5663242435353634,0.3337171885641425,0.12006549261536352,0.524,0.22418183407107894,33.06689790220337
11,2498,0.42890117419629165,0.6414353154845492,0.5389375850746299,0.32247280877106244,0.10642836542522917,0.532826261008807,0.2125341412882576,33.134150265441235
macro_mean_across_districts,9997,0.4463605096452613,0.6573099308108956,0.5689038195007066,0.33109190673986144,0.11526860290539985,0.5197577057083842,0.21094942116563425,32.125648994159455
