selected_method,count,share
forward_fill,91,0.009102730819245773
nearest_boundary,17,0.0017005101530459137
linear,2422,0.24227268180454137
pchip,51,0.005101530459137742
local_natural_cubic_spline,0,0.0
polyfit_bic,2231,0.22316695008502552
template,108,0.010803240972291687
seasonal_periodic,5077,0.507852355706712
